artists,popularity,genres
Jessie Mueller,56.7,"['broadway', 'hollywood', 'show tunes']"
Jessie Reyez,67.3888888889,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Jessie Ware,57,"['british soul', 'dance pop', 'electropop', 'indie r&b', 'neo soul']"
Jessye Norman,26.7142857143,"['classical performance', 'classical soprano', 'opera', 'spirituals']"
Jesus Culture,52.6666666667,"['anthem worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']"
Jesus Jones,55,['britpop']
Jesus Sosa,0,[]
Jesús Adrián Romero,54.2857142857,"['latin christian', 'latin worship', 'rock cristiano']"
Jesús Chairez,69,"['corrido', 'corridos tumbados', 'regional mexican pop']"
Jesús De Monasterio,1,[]
Jesús Maria Sanromá,0,[]
Jesús Navarro,63,[]
Jesús Ojeda y Sus Parientes,45,"['corrido', 'corridos tumbados', 'deep regional mexican', 'regional mexican pop']"
Jet,61.75,[]
Jet Black Stare,44,"['hard alternative', 'post-grunge']"
Jet Life,42,['soul flow']
Jethro Tull,33.1888888889,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
Jets To Brazil,42.5,"['alternative rock', 'emo', 'emo punk', 'post-hardcore']"
Jetta,66,['metropopolis']
Jewel,45.1333333333,['hip hop']
Jewel Akens,35,[]
Jewell,50.1666666667,"['broadway', 'hollywood', 'show tunes']"
Jez Dior,49,"['deep underground hip hop', 'indie pop rap', 'pop rap']"
Jezzabell Doran,56,[]
Jhameel,57,['shimmer pop']
Jharna Dey,0,[]
Jhay Cortez,79.4,"['latin', 'reggaeton', 'trap latino']"
Jhené Aiko,61.183908046,"['alternative r&b', 'pop', 'r&b', 'urban contemporary']"
Jhorrmountain,72,['dutch hip hop']
Jian Wang,52,"['chinese classical performance', 'classical cello']"
Jibbs,54,"['dirty south rap', 'pop rap', 'southern hip hop']"
Jidenna,55.8333333333,['ghanaian hip hop']
Jigsaw,48,['bubblegum pop']
Jikki,0.65625,[]
Jill Andrews,56,"['acoustic pop', 'folk-pop', 'indie folk', 'new americana']"
Jill Barber,58,['pop quebecois']
Jill Haworth,27,[]
Jill Scott,43.7966101695,"['funk', 'hip hop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Jill Sobule,41,"['ectofolk', 'folk', 'lilith']"
Jill Tracy,37,"['dark cabaret', 'steampunk']"
Jillian Jacqueline,58,"['contemporary country', 'country pop']"
Jilly,43,[]
Jim & Jesse,14.512195122,"['appalachian folk', 'bluegrass', 'bluegrass gospel', 'old-time', 'progressive bluegrass', 'traditional folk']"
Jim Apostolou,0,[]
Jim Brickman,44.9473684211,"['classify', 'new age', 'new age piano']"
Jim Broadbent,40,['hollywood']
Jim Brown,0,['lo-fi chill']
Jim Bryant,21.8,[]
Jim Capaldi,44,['british blues']
Jim Carmichael,38,['movie tunes']
Jim Carrey,36,['canadian comedy']
Jim Chapman,0,[]
Jim Croce,38.5849056604,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Jim Cummings,48.2727272727,"['disney', 'movie tunes', 'show tunes']"
Jim Diamond,53,['scottish new wave']
Jim Dineen,40.5,[]
Jim Ed Brown,37.4285714286,['arkansas country']
Jim Ford,27.1666666667,"['cosmic american', 'country rock', 'traditional folk']"
Jim Hall,29.0483870968,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz guitar', 'soul jazz']"
Jim Harbert & His Orchestra,6.5,[]
Jim Hawthorne,0,[]
Jim Hutchison,18,[]
Jim Jackson,8,"['jug band', 'traditional blues', 'vintage country folk']"
Jim James,47,"['indie folk', 'indie rock', 'louisville indie', 'new americana', 'shiver pop', 'stomp and holler']"
Jim Jones,46,"['gangster rap', 'harlem hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Jim Morrison,39.6086956522,"['classic rock', 'psychedelic rock', 'rock']"
Jim Nabors,21,[]
Jim Reeves,33.8095238095,"['adult standards', 'nashville sound']"
Jim Stafford,33.25,['bubblegum pop']
Jim Steinman,38,[]
Jim Stewart,32.1666666667,[]
Jim Sturgess,44.2307692308,['hollywood']
Jim and Jesse and the Virginia Boys,13.75,['bluegrass gospel']
Jim's Big Ego,41,"['boston rock', 'comic']"
Jimi Hendrix,42.3457943925,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
Jimmie Allen,69.5,"['contemporary country', 'country pop']"
Jimmie Dodd,43,[]
Jimmie Dolan,10,['western swing']
Jimmie Grier & His Orchestra,9,[]
Jimmie Komack,8.6666666667,[]
Jimmie Lunceford,8.4,"['big band', 'ragtime', 'stride', 'swing', 'vintage jazz']"
Jimmie Lunceford & His Orchestra,0.9285714286,"['big band', 'stride', 'swing']"
Jimmie Rodgers,8.7076923077,"['appalachian folk', 'bluegrass', 'country rock', 'folk', 'old-time', 'traditional country', 'traditional folk', 'yodeling']"
Jimmie Thompson,13,[]
Jimmie Van Zant Band,37,"['modern southern rock', 'southern rock']"
Jimmie Vaughan,43,"['blues', 'blues rock', 'electric blues', 'modern blues', 'soul blues', 'texas blues']"
Jimmie's Chicken Shack,39.6666666667,"['funk metal', 'funk rock', 'post-grunge', 'rap rock']"
Jimmy & Walter,6,[]
Jimmy Barnes,52,"['australian pop', 'australian rock']"
Jimmy Bondoc,62,"['classic opm', 'opm']"
Jimmy Boyd,6.5,['novelty']
Jimmy Boyd; Accompanied by Norman Luboff,13,[]
Jimmy Bracken's Toe Ticklers,15,[]
Jimmy Bryant,9.75,['country boogie']
Jimmy Buffett,34.4403183024,"['country rock', 'folk rock', 'mellow gold', 'soft rock']"
Jimmy Carroll,0,[]
Jimmy Carroll & His Orchestra,3,[]
Jimmy Carroll Orchestra,9,[]
Jimmy Carroll Percussion Ensemble,0,[]
Jimmy Castor,36,"['funk', 'rare groove']"
Jimmy Cliff,37.095890411,"['reggae', 'roots reggae', 'ska']"
Jimmy Cobb,25.3333333333,['jazz drums']
Jimmy Dawkins,50,"['blues', 'chicago blues', 'electric blues']"
Jimmy DeBerry,1,[]
Jimmy Dean,20.8771929825,['nashville sound']
Jimmy Delgado,29,[]
Jimmy Dorsey,2.375,"['adult standards', 'big band', 'jazz clarinet', 'lounge', 'swing', 'tin pan alley', 'vintage jazz']"
Jimmy Dorsey & His Orchestra,3.68,"['big band', 'swing']"
Jimmy Douglas,37.5,[]
Jimmy Douglass,35.1428571429,[]
Jimmy Durante,26.6363636364,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
Jimmy Eat World,49.5641025641,"['emo', 'modern power pop', 'modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge', 'rock']"
Jimmy Freudenberg,33.25,[]
Jimmy Gilmer & The Fireballs,51,[]
Jimmy Giuffre,11.1935483871,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free improvisation', 'free jazz', 'hard bop', 'jazz', 'jazz clarinet', 'jazz saxophone']"
Jimmy Gonzalez Y Grupo Mazz,43.3333333333,"['tejano', 'tex-mex']"
Jimmy Hall,29.5,[]
Jimmy Hamilton,1.3,"['classical clarinet', 'jazz clarinet']"
Jimmy Heath,12,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz']"
Jimmy Johnson,16,"['blues', 'chicago blues', 'electric blues']"
Jimmy Johnson & His Orchestra,0,[]
Jimmy Joyce & His Children's Chorus,12.4,[]
Jimmy Keltner,32.1666666667,[]
Jimmy Knepper Quintet,2.2857142857,[]
Jimmy LaFave,46.3333333333,"['alternative country', 'austin singer-songwriter', 'country rock', 'folk', 'lilith', 'new americana', 'roots rock', 'traditional folk']"
Jimmy Larkin,16,[]
Jimmy Lunceford and His Orchestra,12,[]
Jimmy Martin,24.6666666667,"['appalachian folk', 'bluegrass', 'old-time', 'progressive bluegrass', 'traditional folk']"
Jimmy McGriff,30,"['hammond organ', 'jazz funk', 'jazz organ', 'soul jazz']"
Jimmy McHugh,8,['tin pan alley']
Jimmy McPartland,15,['new orleans jazz']
Jimmy Murphy,2,['country gospel']
Jimmy Page,30,"['album rock', 'blues rock', 'british blues', 'classic rock', 'hard rock', 'rock']"
Jimmy Raney,5.5,"['cool jazz', 'jazz guitar']"
Jimmy Ray,43,[]
Jimmy Reed,13.3888888889,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'rhythm and blues', 'rock-and-roll', 'traditional blues']"
Jimmy Riley,27,"['lovers rock', 'roots reggae']"
Jimmy Rogers,41,"['acoustic blues', 'blues', 'boogie-woogie', 'chicago blues', 'traditional blues']"
Jimmy Ross,35,"['deep disco', 'post-disco']"
Jimmy Ruffin,42.8,"['brill building pop', 'classic soul', 'motown', 'soul', 'southern soul']"
Jimmy Rushing,11.4545454545,"['jazz blues', 'jump blues']"
Jimmy Rushing And His Orchestra,0,[]
Jimmy Sabater,34,"['boogaloo', 'latin jazz', 'salsa', 'salsa international']"
Jimmy Scott,21.3333333333,['vocal jazz']
Jimmy Shirl,0,[]
Jimmy Simpson,44,[]
Jimmy Smith,25.75,"['bebop', 'contemporary post-bop', 'cool jazz', 'hammond organ', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz fusion', 'jazz organ', 'soul jazz']"
Jimmy Soul,51,[]
Jimmy Voytek,0,[]
Jimmy Wayne,41,"['country', 'country road']"
Jimmy Webb,32,['singer-songwriter']
Jimmy Witherspoon,17.5,"['blues', 'jazz blues', 'jump blues', 'rhythm and blues', 'traditional blues']"
Jimmy Woods,32,[]
Jimmy Woods Sextet,32,[]
Jimmy Wopo,52,"['pittsburgh rap', 'trap']"
Jimmy Yancey,7.8,"['boogie-woogie', 'piano blues']"
Jimmy Zambrano,54.6666666667,[]
Jimpson And Men With Axes,8.5,[]
Jin Hashimoto,64,['otacore']
Jinjer,50,['slayer']
Jinsang,59,"['chillhop', 'japanese chillhop', 'korean r&b', 'lo-fi beats']"
Jitendra Nath Dutt,0,[]
Jitendranath Das,0,[]
Jiří Skopal,0,[]
Jiří Válek,45,['classical flute']
Jnan Dutt,0,[]
Jnan Dutta,0,[]
Jnan Prakash Ghosh,0,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']"
Jo Ann Kelly,0,['british blues']
Jo Boxers,42,['early synthpop']
Jo Dee Messina,49.380952381,"['contemporary country', 'country', 'country dawn', 'country road']"
Jo Jo Gunne,34,[]
Jo Jo Hailey,46,[]
Jo Moutet,0,[]
Jo Stafford,24.1818181818,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
Jo Sullivan,3.3333333333,[]
Jo Vincent,0,"['pop', 'viral pop']"
Jo-Well,55,[]
JoAnn M. Hunter,31,[]
JoJo,63.375,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
JoJo Siwa,61,['social media pop']
Joachim Garraud,57.6666666667,['electro house']
Joakim Karud,58,['chillhop']
Joakim Svenheden,50,[]
Joan,57,"['banda', 'grupera', 'norteno', 'regional mexican']"
Joan Armatrading,35.6875,"['folk', 'folk rock', 'lilith', 'mellow gold', 'new wave pop', 'singer-songwriter', 'traditional folk']"
Joan Baez,30.275862069,"['american folk revival', 'folk', 'folk rock', 'singer-songwriter', 'traditional folk']"
Joan Bowman,0,[]
Joan Diener,6,[]
Joan Ellison,0,[]
Joan Jett & The Blackhearts,36.65625,"['glam punk', 'rock']"
Joan Leslie,1.6666666667,[]
Joan Manuel Serrat,46.4736842105,"['cantautor', 'nova canco', 'nueva cancion', 'spanish pop', 'trova']"
Joan Osborne,51,"['folk', 'lilith', 'new wave pop', 'pop rock', 'singer-songwriter']"
Joan Roberts,3.75,"['british singer-songwriter', 'fluxwork', 'freak folk', 'new isolationism']"
Joan Sebastian,48.4299516908,"['banda', 'grupera', 'norteno', 'regional mexican']"
Joan Weber,14,['deep adult standards']
Joan Y Su Elite,59,"['corrido', 'corridos tumbados']"
Joanie Bartels,31,[]
Joanie Sommers,19,['brill building pop']
Joanna Borowska,48,[]
Joanna Brouk,34,['fourth world']
Joanna Gleason,30.5,[]
Joanna Graham,43,[]
Joanna Jones,62,[]
Joanna Newsom,47.3333333333,"['chamber folk', 'chamber pop', 'freak folk', 'harp', 'new weird america']"
Joanna Pacitti,44,['post-teen pop']
Joanna Wang,58,"['c-pop', 'chinese audiophile', 'chinese indie', 'chinese jazz', 'mandopop']"
Joanne Gilbert,4.25,[]
Joanne Miya,23.3333333333,[]
Joanne Polk,47,['classical piano']
Joao Petra De Barros,8,[]
Joaquin Phoenix,39.3333333333,['hollywood']
Joaquin Romaguera,26.5,[]
Joaquin Sabina y Viceversa,48,[]
Joaquín Malats,1,[]
Joaquín Rodrigo,15.5555555556,['classical']
Joaquín Sabina,54.2,"['cantautor', 'nueva cancion', 'rock en espanol', 'spanish pop', 'trova']"
Joaquín Turina,8.3333333333,"['early modern classical', 'impressionism']"
Job For A Cowboy,47,"['deathcore', 'melodic metalcore']"
Jobriath,31,['glam rock']
Jocelyn Brown,33,"['disco', 'diva house', 'post-disco']"
Jocelyn Enriquez,42.5,['freestyle']
Jode,33,"['dance pop', 'funk', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'rap', 'urban contemporary']"
Jodeci,44.6,"['dance pop', 'funk', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'rap', 'urban contemporary']"
Jodi Benson,50.9166666667,"['disney', 'hollywood', 'movie tunes', 'show tunes']"
Jodie Ricci,0,[]
Jody & The Individuals,21,[]
Jody Chiang,47,"['c-pop', 'classic mandopop', 'hokkien pop', 'mandopop']"
Jody K. Jenkins,51.5,[]
Jody Miller,25,"['nashville sound', 'oklahoma country']"
Jody Watley,38.2,"['freestyle', 'minneapolis sound', 'new jack swing', 'new wave pop', 'post-disco', 'quiet storm', 'urban contemporary', 'vocal house']"
Joe,49.3137254902,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
"Joe ""Bean"" Esposito",55.5,[]
"Joe ""Wingy"" Manone",9,[]
Joe Anderson,44.5,['hollywood']
Joe Arroyo,46.3076923077,"['cumbia', 'latin', 'salsa', 'salsa colombiana', 'tropical']"
Joe Bataan,28.380952381,"['boogaloo', 'classic soul', 'latin jazz']"
Joe Bonamassa,50.8571428571,"['blues rock', 'electric blues', 'modern blues', 'modern blues rock']"
Joe Brown,3,"['merseybeat', 'rock-and-roll']"
Joe Budden,55,"['battle rap', 'hip hop', 'new jersey rap', 'pop rap', 'rap', 'trap']"
Joe Bushkin,0,[]
Joe Bushkin & Trio,0,[]
Joe Carroll,0,[]
Joe Chambers,25,['jazz drums']
Joe Cocker,36.9406779661,"['blues rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']"
Joe Cooley,32,[]
Joe Cuba,32.5,"['boogaloo', 'latin jazz', 'salsa', 'salsa international']"
Joe Cuba Sextet,30,"['boogaloo', 'latin jazz', 'salsa', 'salsa international']"
Joe Dassin,42.3076923077,"['chanson', 'chanson paillarde']"
Joe Diffie,40.9305555556,"['country', 'country road', 'country rock', 'oklahoma country']"
Joe E. Brown,0,[]
Joe Ely,34.6666666667,"['alternative country', 'country rock', 'folk', 'heartland rock', 'outlaw country', 'roots rock', 'texas country', 'traditional folk']"
Joe Esposito,50,[]
Joe Fox,56.8333333333,['uk hip hop']
Joe Gastwirt,36,[]
Joe Glazer,26,"['american folk revival', 'traditional folk']"
Joe Goddard,60,"['alternative dance', 'deep house', 'electronica', 'indie soul', 'indietronica', 'new rave', 'nu disco']"
Joe Gordon,6,[]
Joe Henderson,28.5263157895,"['avant-garde jazz', 'bebop', 'big band', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz saxophone', 'soul jazz']"
Joe Hertz,61,"['alternative r&b', 'indie r&b', 'indie soul', 'new french touch', 'uk contemporary r&b', 'vapor soul']"
Joe Hill Louis,3,"['memphis blues', 'one-person band']"
Joe Hisaishi,39.0878378378,"['anime', 'anime score', 'japanese classical', 'japanese soundtrack', 'soundtrack']"
Joe Houston,0,[]
Joe Inoue,43,"['j-poprock', 'otacore']"
Joe Jackson,35.3492063492,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'soft rock']"
Joe Janiak,69,[]
Joe Jonas,57.1818181818,['post-teen pop']
Joe Lamont,42,[]
Joe Liggins,33.5,"['jazz blues', 'jump blues', 'piano blues', 'rhythm and blues']"
Joe Ligon,26,['contemporary gospel']
Joe Lovano,49,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz']"
Joe Lynn Turner,42,"['album rock', 'hard rock', 'melodic hard rock']"
Joe Maphis,6.625,['traditional bluegrass']
Joe Marine,0,[]
Joe McBride,32,['smooth jazz']
Joe Mondragon,4,[]
Joe Mooney,0,['jazz accordion']
Joe Moses,70,"['cali rap', 'trap', 'west coast trap']"
Joe Newman,16.5,['jazz trumpet']
Joe Nichols,52.8333333333,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']"
Joe Pass,24.0357142857,"['bebop', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz guitar']"
Joe Pizullo,32,[]
Joe Public,39,['new jack swing']
Joe Pug,47,"['deep new americana', 'indie folk', 'new americana', 'roots rock', 'stomp and holler']"
Joe Purdy,47.5,"['acoustic pop', 'arkansas country', 'indie folk', 'neo mellow', 'stomp and holler']"
Joe Quartz,0.9411764706,[]
Joe Reisman & His Orchestra,17.3333333333,[]
Joe Rogan,43,['comedy']
Joe Roland,5.5833333333,['jazz vibraphone']
Joe Sample,32.65,"['jazz funk', 'jazz fusion', 'jazz piano', 'smooth jazz', 'vocal jazz']"
Joe Santiago,29,[]
Joe Satriani,39.8571428571,"['album rock', 'hard rock', 'instrumental rock', 'metal guitar', 'neo classical metal', 'progressive metal', 'shred']"
Joe Simon,34,"['classic soul', 'motown', 'philly soul', 'soul', 'southern soul']"
Joe Smooth,55,"['chicago house', 'hip house', 'vocal house']"
Joe South,39,"['bubblegum pop', 'folk rock', 'merseybeat']"
Joe Stampley,31.3333333333,['classic country pop']
Joe Strummer,46.3333333333,"['pub rock', 'punk', 'ska']"
Joe Strummer & The Latino Rockabilly War,10,['punk']
Joe Tex,38.5,[]
Joe Torres,29,[]
Joe Turner & His Memphis Men,1,[]
Joe Veras,48.6666666667,"['bachata', 'dominican pop', 'latin', 'tropical']"
Joe Walsh,33.1818181818,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock', 'symphonic rock']"
Joe Williams,20.0714285714,"['adult standards', 'big band', 'swing', 'vocal jazz']"
Joe Wong,37.5,[]
Joe Wong and Tom Brown,36,[]
Joe Zawinul,21.5,"['jazz fusion', 'jazz piano']"
JoeVille,70,[]
"Joedi, the Artist",60,[]
Joel Adams,75,['australian pop']
Joel Corry,81,"['deep groove house', 'house', 'tropical house', 'uk dance']"
Joel Grey,29.6428571429,"['broadway', 'show tunes']"
Joel Lyssarides,65,[]
Joel Plaskett Emergency,39,['canadian indie']
Joel Rafael,51,[]
Joel e Gaúcho,2.5,[]
Joell Ortiz,68,"['alternative hip hop', 'battle rap', 'boom bap', 'hardcore hip hop', 'hip hop', 'southern hip hop']"
Joep Beving,63,"['compositional ambient', 'focus', 'neo-classical']"
Joey + Rory,49.5,"['country', 'country dawn']"
Joey Albert,44,"['classic opm', 'manila sound', 'opm']"
Joey Bada$$,56.8837209302,"['conscious hip hop', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Joey Dee,35,['australian talent show']
Joey Galaxy,55.5,[]
Joey McIntyre,42,[]
Joey Miskulin,29,['polka']
Joey Montana,55,"['dominican pop', 'latin', 'latin hip hop', 'latin pop', 'panamanian pop', 'pop reggaeton', 'reggaeton', 'tropical']"
Joey Nash,0.3571428571,[]
Joey Pastrana and His Orchestra,33,['boogaloo']
Joey Pecoraro,58,"['chillhop', 'lo-fi beats']"
Joey Purp,60.3333333333,"['chicago rap', 'underground hip hop']"
Joey Ramone,54,['punk']
Joey Scarbury,53,"['soft rock', 'yacht rock']"
Joey Trap,65,"['dark trap', 'san diego rap', 'underground hip hop', 'vapor trap']"
Joey Yung,54,"['c-pop', 'cantopop']"
Johan Bejerholm,41,[]
Johan Olsen,54,[]
Johann Baptist Vanhal,43,['classical era']
Johann Christian Bach,0,['classical era']
Johann Heidenreich,0,[]
Johann Hermann Schein,0,"['baroque', 'german baroque', 'german renaissance']"
Johann Jakob Froberger,2,"['baroque', 'german baroque']"
Johann Nepomuk Hummel,50,"['classical era', 'early romantic era']"
Johann Pachelbel,36.75,"['baroque', 'classical', 'german baroque']"
Johann Sebastian Bach,14.2480359147,"['baroque', 'classical', 'early music', 'german baroque']"
Johann Stamitz,34,"['baroque', 'bohemian baroque', 'classical era', 'galante era']"
Johann Strauss I,24,"['classical', 'late romantic era', 'operetta']"
Johann Strauss II,5.15625,"['classical', 'late romantic era', 'operetta']"
Johann Strauss Orchestra,46.5,[]
Johann Wolfgang von Goethe,0.7727272727,['german literature']
Johanna Fay,46.5,[]
Johanna Martzy,0,['violin']
Johannes Bornlöf,64.5,"['calming instrumental', 'focus', 'neo-classical']"
Johannes Brahms,4.0958466454,"['classical', 'late romantic era']"
Johannes Dale,3,[]
Johannes Heesters,0.6,['vintage schlager']
Johannes Heidenreich,1,[]
Johannes Linstead,45,"['flamenco', 'flamenco guitar', 'rumba']"
Johannes Schüler,0,[]
Johannes Wildner,41,[]
John,0,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']"
"John ""Jellybean"" Benitez",35,[]
"John ""Paul"" Blackman",13,['garage punk blues']
John & Beverley Martyn,28,[]
John 5,52,"['atl hip hop', 'atl trap', 'trap']"
John Abbott,5,[]
John Abercrombie,38.5,"['contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'jazz fusion', 'jazz guitar']"
John Adams,41,"['american contemporary classical', 'avant-garde', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism', 'post-minimalism']"
John Alldis Choir,51,"['british choir', 'opera', 'opera chorus']"
John Anderson,35.6140350877,"['country', 'country road', 'country rock']"
John Archambault and David Plummer,41,"[""children's music"", 'nursery']"
John Aron,34,[]
John Bacchus Dykes,11.6666666667,['anglican liturgy']
John Baldry,32,[]
John Barry,32.8387096774,"['adult standards', 'british soundtrack', 'classic soundtrack', 'scorecore', 'soundtrack']"
John Barry Orchestra,28,"['classic soundtrack', 'theme']"
John Baumann,46,"['red dirt', 'roots americana', 'texas country']"
John Benitez,47,[]
John Berry,47,"['bluegrass gospel', 'country', 'country road']"
John Borstelmann,2,[]
John Brown's Body,41,"['east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
John Butler Trio,47.75,"['australian rock', 'banjo']"
John C. Reilly,44.3333333333,"['comic', 'hollywood']"
John Cafferty,46,"['album rock', 'heartland rock', 'mellow gold']"
John Cafferty & the Beaver Brown Band,34.375,"['album rock', 'heartland rock', 'mellow gold']"
John Cage,9.4285714286,"['american contemporary classical', 'avant-garde', 'classical', 'contemporary classical', 'experimental', 'free improvisation']"
John Cale,34.52,"['alternative rock', 'anti-folk', 'art pop', 'art rock', 'country rock', 'dance rock', 'experimental', 'experimental rock', 'folk', 'folk rock', 'melancholia', 'post-punk', 'psychedelic rock', 'pub rock', 'roots rock', 'singer-songwriter', 'slow core', 'traditional folk']"
John Cameron,5.6923076923,"['library music', 'spytrack']"
John Cameron/Glyndebourne Chorus/Pro Arte Orchestra/Sir Malcolm Sargent,11,[]
John Carpenter,29.5454545455,"['classic soundtrack', 'horror synth', 'soundtrack']"
John Cena,51.5,['wrestling']
John Chester,38,[]
John Ciardi,1,['poetry']
John Coloff,1,[]
John Coltrane,22.7272727273,"['bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'jazz', 'jazz saxophone']"
John Coltrane Quartet,24.6428571429,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz quartet', 'jazz saxophone']"
John Conlee,40.875,"['classic country pop', 'country', 'country rock']"
John Cooper Clarke,32.3333333333,"['madchester', 'slam poetry']"
"John Corigliano, Sr.",8,[]
John Creamer,33,['tribal house']
John Cruz,39.2,"['hawaiian', 'jawaiian', 'slack-key guitar']"
John Cullum,22,['broadway']
John Cunningham,20,['chamber pop']
John D. Hale Band,43,['roots americana']
John D. Loudermilk,23.5,['rock-and-roll']
John David Call,48,[]
John De Kadt,53.3333333333,"['kirtan', 'shamanic', 'world fusion']"
John DeLuca,56,[]
John DeMain,1.5,[]
John Debney,44.3333333333,"['classic soundtrack', 'scorecore', 'soundtrack']"
John Denver,35.256,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
John Dickie,48,[]
John Dowland,2,"['classical', 'early music', 'english renaissance', 'renaissance']"
John Eliot Gardiner,45.1333333333,"['choral', 'classical performance', 'orchestral performance']"
John Entwistle,23,[]
John Eric,68,"['blues rock', 'instrumental bluegrass', 'instrumental rock', 'neo classical metal', 'progressive jazz fusion', 'shred']"
John Eric Parker,49,[]
John Fahey,23.1666666667,"['american primitive', 'drone folk', 'experimental', 'fingerstyle', 'folk', 'freak folk', 'traditional blues', 'traditional folk']"
John Farnham,49.7142857143,"['australian pop', 'australian rock']"
John Field,40.5,"['early romantic era', 'irish classical']"
John Finucane,50,[]
John Fogerty,48.75,"['blues rock', 'classic rock', 'country rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock', 'swamp rock']"
John Ford Coley,45.7692307692,[]
John Foxx,46,"['ambient', 'art rock', 'dance rock', 'laboratorio', 'new romantic', 'new wave', 'synthpop']"
John Fred and His Playboy Band,38,[]
John Frusciante,47,"['alternative rock', 'blues rock', 'post-grunge', 'rock']"
John Gallagher Jr.,59,"['broadway', 'hollywood', 'show tunes']"
"John Gallagher, Jr.",44.4,"['broadway', 'hollywood', 'show tunes']"
John Gallen,40,[]
John Garfield,0,[]
John Gary,24,"['adult standards', 'easy listening', 'lounge']"
John Georgiadis,4,[]
John Goodman,55,[]
John Gorka,33,"['contemporary folk', 'ectofolk', 'folk', 'traditional folk']"
John Greenway,7,['american folk revival']
John Gustafsen,5,[]
John Gustavsen,3,[]
John Handy,35,"['jazz saxophone', 'rare groove']"
John Hartford,27.7586206897,"['appalachian folk', 'banjo', 'bluegrass', 'country rock', 'folk', 'jam band', 'old-time', 'progressive bluegrass', 'traditional folk']"
John Heddle Nash,0,[]
John Henson,2.6666666667,[]
John Hiatt,36.8181818182,"['alternative country', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'pub rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']"
John Holt,42.5294117647,"['dub', 'lovers rock', 'reggae', 'rock steady', 'roots reggae', 'ska']"
John Howard,0,['jazz tuba']
John Hughes,13,[]
John Ireland,12,"['british modern classical', 'early modern classical', 'impressionism', 'post-romantic era']"
John Jacob Niles,11.3333333333,"['appalachian folk', 'traditional folk']"
John Jansen,27.5,[]
John Johnson,31,['neo mellow']
John K,71.8333333333,"['electropop', 'pop']"
